Target Area, Target sign,TargetFinding Time, TargetFinding result
1,0,3.730705,True
1,0,0,True
0,0,1.796703,True
0,1,2.632636,True
0,0,2.003797,True
1,1,2.717074,True
0,1,2.132424,True
0,0,1.72118,False
1,0,-1,False
1,0,-1,False
