Target Area, Target sign,TargetFinding Time, TargetFinding result
1,0,3.177385,True
1,1,3.432854,True
0,0,2.992428,True
1,0,0,True
1,1,6.48688,True
1,0,2.744392,True
0,0,2.145871,True
0,0,-1,False
0,0,-1,False
0,1,-1,False
