Target Area, Target sign,TargetFinding Time, TargetFinding result
0,0,7.731471,True
0,0,1.639014,True
0,1,0.1304525,False
1,0,2.165295,True
1,0,1.458657,True
1,0,1.85943,True
1,0,1.485459,True
0,1,1.236858,False
0,1,-1,False
1,1,-1,False
